Don't you know that you yourselves are God's temple and that God's Spirit dwells in your midst?  1 Corinthians 3:16
"I have the right to do anything," you say – but not everything is beneficial. "I have the right to do anything" – but I will not be mastered by anything.  1 Corinthians 6:12
Be careful, however, that the exercise of your rights does not become a stumbling block to the weak.  1 Corinthians 8:9
So, if you think you are standing firm, be careful that you don't fall!  1 Corinthians 10:12
So whether you eat or drink or whatever you do, do it all for the glory of God.  1 Corinthians 10:31
For as woman came from man, so also man is born of woman. But everything comes from God.  1 Corinthians 11:12
There are different kinds of gifts, but the same Spirit distributes them.  1 Corinthians 12:4
Even so the body is not made up of one part but of many.  1 Corinthians 12:14
If I speak in human or angelic tongues, but do not have love, I am only a resounding gong or a clanging cymbal.  1 Corinthians 13:1
Love is patient, love is kind. It does not envy, it does not boast, it is not proud.  1 Corinthians 13:4
And now these three remain: faith, hope and love. But the greatest of these is love.  1 Corinthians 13:13
Follow the way of love and eagerly desire spiritual gifts, especially the gift of prophecy.  1 Corinthians 14:1
Do not be misled: "Bad company corrupts good character."  1 Corinthians 15:33
Be on your guard; stand firm in the faith; be courageous; be strong.  1 Corinthians 16:33
Remember this: Whoever sows sparingly will also reap sparingly, and whoever sows generously will also reap generously.  2 Corinthians 9:6
